image_type,degradation,level,enhancement_method,degradation_params,enhancement_params,psnr,ssim,delta_e_2000,mean_brightness,rms_contrast,edge_preservation_ratio,histogram_distance
enhanced,gaussian_blur,strong,sharpening,"{""kernel"": 15}",quality_pipeline_defaults,19.859047361176735,0.5259085213055326,,106.6869285258345,40.080861801844094,0.3631627684564394,0.09143093275769264
degraded,color_cast,light,none,"{""gains"": [1.05, 1.0, 0.95]}",none,35.14199314740163,0.9964398413244767,2.2972861451939175,108.17616630282315,52.85402227383175,1.0082280113419047,0.02747205697547303
enhanced,color_cast,light,rgb_balance,"{""gains"": [1.05, 1.0, 0.95]}",quality_pipeline_defaults,22.46572612013968,0.9150756526170217,13.738571380210024,99.17052228693181,49.265963448934265,0.9517783841215226,0.09372564717216278
enhanced,color_cast,light,hsv_correction,"{""gains"": [1.05, 1.0, 0.95]}",quality_pipeline_defaults,23.590787942609765,0.9045879734332813,6.313135205330423,108.71664986638848,60.709185034492194,1.2375016420651042,0.07960161199539922
enhanced,color_cast,light,lab_correction,"{""gains"": [1.05, 1.0, 0.95]}",quality_pipeline_defaults,18.662919613446608,0.8270877136723249,15.371564034243509,113.63895086958452,64.57636001980916,1.2767307666256444,0.13007451325395458
degraded,color_cast,medium,none,"{""gains"": [1.15, 1.0, 0.85]}",none,25.946186994163842,0.980796442159729,6.350379855371729,110.32510367009944,53.33969996892261,1.0164360697050552,0.05374202840531757
enhanced,color_cast,medium,rgb_balance,"{""gains"": [1.15, 1.0, 0.85]}",quality_pipeline_defaults,22.156374334969474,0.910328344626881,13.669827608821462,100.03333748401988,49.354662562198754,0.9539480621875415,0.09836630365602776
enhanced,color_cast,medium,hsv_correction,"{""gains"": [1.15, 1.0, 0.85]}",quality_pipeline_defaults,22.39438497628369,0.9003201228646384,8.453339647490731,111.14376978338068,60.03128796006649,1.2192351800950982,0.08810222080214893
enhanced,color_cast,medium,lab_correction,"{""gains"": [1.15, 1.0, 0.85]}",quality_pipeline_defaults,18.011800838221255,0.8106261645831448,16.03706512593018,115.6862107199929,65.13579678293635,1.282221361765294,0.1385228098956329
degraded,color_cast,strong,none,"{""gains"": [1.3, 1.0, 0.7]}",none,20.4553445718063,0.9332444062333279,11.18176382900925,112.79818859419389,53.30418727491911,1.0146837221178373,0.07893013662678613
enhanced,color_cast,strong,rgb_balance,"{""gains"": [1.3, 1.0, 0.7]}",quality_pipeline_defaults,21.42437771315352,0.8982305951006843,13.750417220108913,100.50499553355823,48.870069865282446,0.945803892069964,0.1057001633406128
enhanced,color_cast,strong,hsv_correction,"{""gains"": [1.3, 1.0, 0.7]}",quality_pipeline_defaults,19.636899636673498,0.8772201535205706,11.990139421945965,114.26376401988637,58.715846583656855,1.1836145202327903,0.10243772081945185
enhanced,color_cast,strong,lab_correction,"{""gains"": [1.3, 1.0, 0.7]}",quality_pipeline_defaults,16.90120303409128,0.7798932983259772,17.581908917077776,119.16055267533737,65.57137667676017,1.2837218906820442,0.15075035093930633
